Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.10     10.21     0.01                             sc_core::sc_signal<BurstOp, (sc_core::sc_writer_policy)0>::update()
  0.10     10.22     0.01                             std::_Function_base::_Base_manager<ramulator::DDR3::init_lambda()::{lambda(ramulator::DRAM<ramulator::DDR3>*, int)#12}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<ramulator::DDR3::init_lambda()::{lambda(ramulator::DRAM<ramulator::DDR3>*, int)#12}> const&, std::_Manager_operation)
  0.05     10.22     0.01   196756     0.00     0.00  ramulator::Request::~Request()
  0.05     10.23     0.01   194272     0.00     0.00  ramulator::Request::Request(ramulator::Request const&)
  0.05     10.23     0.01    40884     0.00     0.00  std::_Rb_tree_iterator<std::pair<long const, bool> > std::_Rb_tree<long, std::pair<long const, bool>, std::_Select1st<std::pair<long const, bool> >, std::less<long>, std::allocator<std::pair<long const, bool> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<long const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<long const, bool> >, std::piecewise_construct_t const&, std::tuple<long const&>&&, std::tuple<>&&)
  0.05     10.24     0.01        3     1.67     1.67  std::_Rb_tree<long, std::pair<long const, bool>, std::_Select1st<std::pair<long const, bool> >, std::less<long>, std::allocator<std::pair<long const, bool> > >::_M_get_insert_unique_pos(long const&)
  0.05     10.24     0.01                             non-virtual thunk to sc_core::sc_signal<BurstOp, (sc_core::sc_writer_policy)0>::write(BurstOp const&)
  0.00     10.24     0.00  3625477     0.00     0.00  std::_Function_handler<bool (ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int), ramulator::DDR3::init_rowhit()::{lambda(ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int)#1}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, ramulator::DDR3::Command&&, int&&)
  0.00     10.24     0.00  1304087     0.00     0.00  std::_Function_handler<std::_List_iterator<ramulator::Request> (std::_List_iterator<ramulator::Request>, std::_List_iterator<ramulator::Request>), ramulator::Scheduler<ramulator::DDR3>::compare::{lambda(std::_List_iterator<ramulator::Request>, std::_List_iterator<ramulator::Request>)#2}>::_M_invoke(std::_Any_data const&, std::_List_iterator<ramulator::Request>&&, std::_Any_data const)
  0.00     10.24     0.00   194273     0.00     0.00  std::function<void (ramulator::Request&)>::function(std::function<void (ramulator::Request&)> const&)
  0.00     10.24     0.00   152414     0.00     0.00  std::_Deque_iterator<long, long&, long*>::operator+=(long)
  0.00     10.24     0.00   152350     0.00     0.00  std::_Deque_iterator<long, long&, long*>::operator+(long) const
  0.00     10.24     0.00   150273     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, ramulator::WideIO2::Speed, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::WideIO2::Speed> > >::map(std::initializer_list<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::WideIO2::Speed> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::WideIO2::Speed> > const&)
  0.00     10.24     0.00   113713     0.00     0.00  std::_Function_handler<std::vector<int, std::allocator<int> > (ramulator::DDR3::Command), ramulator::RowPolicy<ramulator::DDR3>::policy::{lambda(ramulator::DDR3::Command)#2}>::_M_invoke(std::_Any_data const&, ramulator::DDR3::Command&&)
  0.00     10.24     0.00    98199     0.00     0.00  MemWrapper::getMemReq(ramulator::Request&)
  0.00     10.24     0.00    80168     0.00     0.00  BurstOp::operator==(BurstOp const&) const
  0.00     10.24     0.00    58900     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00     10.24     0.00    58900     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long)
  0.00     10.24     0.00    58897     0.00     0.00  ramulator::Controller<ramulator::DDR3>::enqueue(ramulator::Request&)
  0.00     10.24     0.00    58897     0.00     0.00  ramulator::Memory<ramulator::DDR3, ramulator::Controller>::send(ramulator::Request)
  0.00     10.24     0.00    52264     0.00     0.00  sc_core::sc_signal<BurstOp, (sc_core::sc_writer_policy)0>::read() const
  0.00     10.24     0.00    50670     0.00     0.00  std::deque<long, std::allocator<long> >::push_front(long const&)
  0.00     10.24     0.00    50670     0.00     0.00  std::deque<long, std::allocator<long> >::pop_back()
  0.00     10.24     0.00    50416     0.00     0.00  void std::__cxx11::list<ramulator::Request, std::allocator<ramulator::Request> >::_M_insert<ramulator::Request const&>(std::_List_iterator<ramulator::Request>, ramulator::Request const&)
  0.00     10.24     0.00    46304     0.00     0.00  ramulator::DRAM<ramulator::DDR3>::check_row_open(ramulator::DDR3::Command, int const*)
  0.00     10.24     0.00    46045     0.00     0.00  void std::vector<long, std::allocator<long> >::_M_emplace_back_aux<long>(long&&)
  0.00     10.24     0.00    46004     0.00     0.00  std::_Function_handler<bool (ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int), ramulator::DDR3::init_rowopen()::{lambda(ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int)#1}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, ramulator::DDR3::Command&&, int&&)
  0.00     10.24     0.00    40233     0.00     0.00  BurstOp::BurstOp(bool)
  0.00     10.24     0.00    33652     0.00     0.00  ramulator::DRAM<ramulator::DDR3>::update_serving_requests(int const*, int, long)
  0.00     10.24     0.00    28545     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>(int const&)
  0.00     10.24     0.00    26406     0.00     0.00  std::_Rb_tree<long, std::pair<long const, int>, std::_Select1st<std::pair<long const, int> >, std::less<long>, std::allocator<std::pair<long const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long const, int> >, long const&)
  0.00     10.24     0.00    26132     0.00     0.00  sc_core::sc_signal<bool, (sc_core::sc_writer_policy)0>::read() const
  0.00     10.24     0.00    23976     0.00     0.00  std::_Function_handler<void (ramulator::Request&), void MemWrapper::run_acc<ramulator::DDR3>(ramulator::Config const&, ramulator::Memory<ramulator::DDR3, ramulator::Controller>&)::{lambda(ramulator::Request&)#1}>::_M_invoke(std::_Any_data const&, ramulator::Request&)
  0.00     10.24     0.00    23976     0.00     0.00  std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::operator[](int&&)
  0.00     10.24     0.00    23976     0.00     0.00  std::deque<ramulator::Request, std::allocator<ramulator::Request> >::push_back(ramulator::Request const&)
  0.00     10.24     0.00    16942     0.00     0.00  ramulator::Controller<ramulator::DDR3>::issue_cmd(ramulator::DDR3::Command, std::vector<int, std::allocator<int> > const&)
  0.00     10.24     0.00    16942     0.00     0.00  ramulator::DRAM<ramulator::DDR3>::update_timing(ramulator::DDR3::Command, int const*, long)
  0.00     10.24     0.00    16942     0.00     0.00  ramulator::RowTable<ramulator::DDR3>::update(ramulator::DDR3::Command, std::vector<int, std::allocator<int> > const&, long)
  0.00     10.24     0.00    16942     0.00     0.00  std::vector<int, std::allocator<int> >::vector<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, void>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, std::allocator<int> const&)
  0.00     10.24     0.00    16826     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry> > >::find(std::vector<int, std::allocator<int> > const&)
  0.00     10.24     0.00    14362     0.00     0.00  std::_Function_handler<void (ramulator::DRAM<ramulator::DDR3>*, int), ramulator::DDR3::init_lambda()::{lambda(ramulator::DRAM<ramulator::DDR3>*, int)#5}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, int&&)
  0.00     10.24     0.00    13203     0.00     0.00  MemWrapper::getMaxDepartTime(std::vector<long, std::allocator<long> > const&)
  0.00     10.24     0.00    13203     0.00     0.00  GL::getBurstIdx()
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::convertToReq(std::__cxx11::list<ramulator::Request, std::allocator<ramulator::Request> >&)
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::updateReqVec()
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::updateAddrVec()
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::setArrivePeTime(long)
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::setDepartPeTime(long)
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::setArriveMemTime(long)
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::setDepartMemTime(long)
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::BurstOp(ramulator::Request::Type, PortType, long, int, long, int)
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::getDepartMemTime() const
  0.00     10.24     0.00    13203     0.00     0.00  BurstOp::getReqNum() const
  0.00     10.24     0.00    13203     0.00     0.00  void std::__cxx11::list<long, std::allocator<long> >::_M_insert<long>(std::_List_iterator<long>, long&&)
  0.00     10.24     0.00    13203     0.00     0.00  std::_Rb_tree<long, std::pair<long const, bool>, std::_Select1st<std::pair<long const, bool> >, std::less<long>, std::allocator<std::pair<long const, bool> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long const, bool> >, long const&)
  0.00     10.24     0.00    11962     0.00     0.00  pe::createReadBurstReq(ramulator::Request::Type, PortType, long, int) [clone .constprop.247]
  0.00     10.24     0.00    11962     0.00     0.00  BurstOp::ramToReq(std::vector<char, std::allocator<char> > const&)
  0.00     10.24     0.00     7992     0.00     0.00  void std::deque<ramulator::Request, std::allocator<ramulator::Request> >::_M_push_back_aux<ramulator::Request const&>(ramulator::Request const&)
  0.00     10.24     0.00     2464     0.00     0.00  std::_Function_handler<void (ramulator::DRAM<ramulator::DDR3>*, int), ramulator::DDR3::init_lambda()::{lambda(ramulator::DRAM<ramulator::DDR3>*, int)#6}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, int&&)
  0.00     10.24     0.00     1241     0.00     0.00  BurstOp::reqToRam(std::vector<char, std::allocator<char> >&)
  0.00     10.24     0.00      640     0.00     0.00  std::_Function_handler<ramulator::DDR3::Command (ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int), ramulator::DDR3::init_prereq()::{lambda(ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int)#3}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, ramulator::DDR3::Command&&, int&&)
  0.00     10.24     0.00      418     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> > std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int&&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, int> >, std::piecewise_construct_t const&, std::tuple<int&&>&&, std::tuple<>&&)
  0.00     10.24     0.00      223     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     10.24     0.00      193     0.00     0.00  std::deque<long, std::allocator<long> >::_M_reallocate_map(unsigned long, bool)
  0.00     10.24     0.00      129     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     10.24     0.00      120     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*) [clone .constprop.2302]
  0.00     10.24     0.00      112     0.00     0.00  void std::vector<ramulator::DDR3::TimingEntry, std::allocator<ramulator::DDR3::TimingEntry> >::_M_emplace_back_aux<ramulator::DDR3::TimingEntry>(ramulator::DDR3::TimingEntry&&)
  0.00     10.24     0.00      103     0.00     0.00  Stats::Stat<Stats::Scalar>::Stat()
  0.00     10.24     0.00       85     0.00     0.00  ramulator::StatBase<Stats::Scalar>::name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     10.24     0.00       81     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_emplace_back_aux<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     10.24     0.00       72     0.00     0.00  std::_Function_handler<void (ramulator::DRAM<ramulator::DDR3>*, int), ramulator::DDR3::init_lambda()::{lambda(ramulator::DRAM<ramulator::DDR3>*, int)#1}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, int&&)
  0.00     10.24     0.00       72     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry> >, bool> std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry> > >::_M_insert_unique<std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry> const&>(std::pair<std::vector<int, std::allocator<int> > const, ramulator::RowTable<ramulator::DDR3>::Entry> const&)
  0.00     10.24     0.00       72     0.00     0.00  std::_Rb_tree<int, std::pair<int const, ramulator::DDR3::State>, std::_Select1st<std::pair<int const, ramulator::DDR3::State> >, std::less<int>, std::allocator<std::pair<int const, ramulator::DDR3::State> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, ramulator::DDR3::State> >, int const&)
  0.00     10.24     0.00       72     0.00     0.00  std::_Rb_tree<int, std::pair<int const, ramulator::DDR3::State>, std::_Select1st<std::pair<int const, ramulator::DDR3::State> >, std::less<int>, std::allocator<std::pair<int const, ramulator::DDR3::State> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, ramulator::DDR3::State> >*)
  0.00     10.24     0.00       64     0.00     0.00  std::_Deque_iterator<long, long&, long*>::operator-(long) const
  0.00     10.24     0.00       64     0.00     0.00  std::deque<long, std::allocator<long> >::_M_fill_insert(std::_Deque_iterator<long, long&, long*>, unsigned long, long const&)
  0.00     10.24     0.00       64     0.00     0.00  std::deque<long, std::allocator<long> >::_M_new_elements_at_front(unsigned long)
  0.00     10.24     0.00       64     0.00     0.00  std::deque<long, std::allocator<long> >::resize(unsigned long, long const&)
  0.00     10.24     0.00       37     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     10.24     0.00       31     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int>(int&&)
  0.00     10.24     0.00       20     0.00     0.00  sc_core::sc_process_handle::~sc_process_handle()
  0.00     10.24     0.00       20     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00     10.24     0.00       20     0.00     0.00  std::_Function_handler<void (ramulator::DRAM<ramulator::DDR3>*, int), ramulator::DDR3::init_lambda()::{lambda(ramulator::DRAM<ramulator::DDR3>*, int)#3}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, int&&)
  0.00     10.24     0.00       20     0.00     0.00  std::_Function_handler<void (ramulator::DRAM<ramulator::DDR3>*, int), ramulator::DDR3::init_lambda()::{lambda(ramulator::DRAM<ramulator::DDR3>*, int)#4}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, int&&)
  0.00     10.24     0.00       18     0.00     0.00  Stats::VectorBase<Stats::Vector, Stats::Scalar>::init(unsigned int)
  0.00     10.24     0.00       18     0.00     0.00  Stats::Stat<Stats::Vector>::Stat()
  0.00     10.24     0.00       18     0.00     0.00  ramulator::StatBase<Stats::Vector>::name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     10.24     0.00       18     0.00     0.00  Stats::Scalar* std::__uninitialized_default_n_1<false>::__uninit_default_n<Stats::Scalar*, unsigned long>(Stats::Scalar*, unsigned long)
  0.00     10.24     0.00       18     0.00     0.00  std::vector<Stats::Scalar, std::allocator<Stats::Scalar> >::_M_default_append(unsigned long)
  0.00     10.24     0.00       15     0.00     0.00  sc_core::sc_process_handle::sc_process_handle(sc_core::sc_process_handle const&)
  0.00     10.24     0.00       15     0.00     0.00  void std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_emplace_back_aux<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&&)
  0.00     10.24     0.00       13     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::DDR3::Speed>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::DDR3::Speed> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::DDR3::Speed> > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     10.24     0.00       13     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::SALP::Speed>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::SALP::Speed> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::SALP::Speed> > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     10.24     0.00       13     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::ALDRAM::Speed>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::ALDRAM::Speed> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::ALDRAM::Speed> > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     10.24     0.00       13     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::TLDRAM::Speed>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::TLDRAM::Speed> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, ramulator::TLDRAM::Speed> > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
